"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Lamictal XR","Lamotrigine","TABLET, EXTENDED RELEASE;ORAL","022115","GLAXOSMITHKLINE LLC","03/31/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022115s029lbl.pdf#page=51"
"Lamictal XR","Lamotrigine","TABLET, EXTENDED RELEASE; ORAL","022509","SMITHKLINE BEECHAM","01/29/2010","https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/022509lbl.pdf#page=39"
"Lamisil","Terbinafine Hydrochloride","GRANULE;ORAL","022071","NOVARTIS","03/29/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020539s029,022071s013lbl.pdf#page=10"
"Lamisil","Terbinafine Hydrochloride","TABLET;ORAL","020539","NOVARTIS","03/29/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020539s033lbl.pdf#page=11"
"Lamivudine, Nevirapine and Zidovudine","Lamivudine; Nevirapine; Zidovudine","TABLET;ORAL","205626","MICRO LABS","08/13/2018","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/205626s000lbl.pdf#page=50"
"Lariam","Mefloquine Hydrochloride","TABLET;ORAL","019591","ROCHE","04/29/2011","https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/019591s026s028lbl.pdf#page=13"
"Latuda","Lurasidone Hydrochloride","TABLET;ORAL","200603","SUNOVION PHARMS INC","12/04/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/200603s035lbl.pdf#page=62"
"Lazanda","Fentanyl Citrate","SPRAY, METERED;NASAL","022569","BTCP PHARMA","12/03/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022569s030lbl.pdf#page=35"
"Lemtrada","Alemtuzumab","INJECTABLE;INJECTION","103948","GENZYME","05/26/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/103948s5185lbl.pdf#page=30"
"Leqembi","Ecanemab-Irmb","INJECTABLE;INTRAVENOUS","761269","EISAI INC","01/06/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761269s000lbl.pdf#page=16"
"Letairis","Ambrisentan","TABLET;ORAL","022081","GILEAD","06/08/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022081s041lbl.pdf#page=26"
"Levaquin","Levofloxacin","SOLUTION;ORAL","021721","JANSSEN PHARMS","02/08/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020634s068,020635s074,021721s035lbl.pdf#page=59"
"Levaquin","Levofloxacin","TABLET;ORAL","020634","JANSSEN PHARMS","02/08/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020634s073lbl.pdf#page=54"
"Levaquin","Levofloxacin","INJECTABLE;INJECTION","020635","JANSSEN PHARMS","02/08/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020634s068,020635s074,021721s035lbl.pdf#page=59"
"Levaquin","Levofloxacin","INJECTABLE;INJECTION","020635","JANSSEN PHARMS","02/08/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/020634s068,020635s074,021721s035lbl.pdf#page=59"
"Lexapro","Escitalopram Oxalate","TABLET;ORAL","021323","ALLERGAN","09/20/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021365s038,021323s053lbl.pdf#page=21"
"Lexapro","Escitalopram Oxalate","SOLUTION;ORAL","021365","ALLERGAN","09/20/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021365s038,021323s053lbl.pdf#page=21"
"Librax","Chlordiazepoxide Hydrochloride; Clidinium Bromide","CAPSULE;ORAL","012750","BAUSCH","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/012750s068lbl.pdf#page=13"
"Librium","Chlordiazepoxide Hydrochloride","CAPSULE;ORAL","012249","VALEANT PHARM INTL","12/16/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/012249s049lbl.pdf#page=8"
"Libtayo","Cemiplimab-Rwlc","INJECTABLE;INTRAVENOUS","761097","REGENERON PHARMACEUTICALS","11/08/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761097s014lbl.pdf#page=35"
"Licart","Diclofenac Epolamine","SYSTEM;TOPICAL","206976","IBSA INST BIO","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/206976s007lbl.pdf#page=21"
"Limbitrol","Amitriptyline Hydrochloride; Chlordiazepoxide","TABLET;ORAL","016949","HERITAGE PHARMS INC","02/05/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016949s041lbl.pdf#page=14"
"Limbitrol DS","Amitriptyline Hydrochloride; Chlordiazepoxide","TABLET;ORAL","016949","HERITAGE PHARMS INC","02/05/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016949s041lbl.pdf#page=14"
"Lindane","Lindane","SHAMPOO;TOPICAL","087266","OLTA PHARMS","04/05/2004","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/LindaneLotionMedGuide.pdf"
"Lindane","Lindane","LOTION;TOPICAL","087313","OLTA PHARMS","09/04/2001","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/LindaneShampooMedGuide.pdf"
"Linzess","Linaclotide","CAPSULE;ORAL","202811","ALLERGAN","08/24/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202811s018lbl.pdf#page=21"
"Lithium Carbonate","Lithium Carbonate","CAPSULE;ORAL","017812","HIKMA","10/13/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/017812s036,018421s035,018558s030lbl.pdf#page=19"
"Lithium Carbonate","Lithium Carbonate","TABLET;ORAL","018558","HIKMA","10/13/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/017812s036,018421s035,018558s030lbl.pdf#page=19"
"Lithium Citrate","Lithium Citrate","SYRUP;ORAL","018421","HIKMA","10/13/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/017812s036,018421s035,018558s030lbl.pdf#page=19"
"Loreev XR","Lorazepam","CAPSULE, EXTENDED RELEASE;ORAL","214826","Almatica Pharma","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214826s003lbl.pdf#page=16"
"Lotronex","Alosetron Hydrochloride","TABLET;ORAL","021107","SEBELA IRELAND LTD","04/03/2019","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088624.pdf"
"Lumoxiti","Moxetumomab Pasudotox-Tdfk","INJECTABLE;INJECTION","761104","INNATE PHARMA","08/20/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761104s003lbl.pdf#page=18"
"Lunesta","Eszopiclone","TABLET;ORAL","021476","SUNOVION PHARMS INC","08/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021476Orig1s038rplLBL.pdf#page=26"
"Lunsumio","Mosunetuzumab-Axgb","INJECTABLE;INTRAVENOUS","761263","GENENTECH, INC","12/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761263s000lbl.pdf#page=21"
"Lupkynis","Voclosporin","CAPSULE;ORAL","213716","AURINIA","01/22/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/213716s000lbl.pdf#page=23"
"Lupron","Leuprolide Acetate","INJECTABLE;INJECTION","019010","ABBVIE ENDOCRINE INC","12/10/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/019010s038lbl.pdf#page=27"
"Lupron Depot-Ped Kit","Leuprolide Acetate","POWDER;INTRAMUSCULAR","020263","ABBVIE ENDOCRINE INC","04/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020263s050lbl.pdf#page=23"
"Luvox","Fluvoxamine Maleate","TABLET;ORAL","021519","ANI PHARMS","09/20/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021519s018lbl.pdf#page=31"
"Luvox CR","Fluvoxamine Maleate","CAPSULE, EXTENDED RELEASE;ORAL","022033","JAZZ PHARMS","01/04/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022033s011lbl.pdf#page=26"
"Lybalvi","Olanzapine; Samidorphan L-Malate","TABLET;ORAL","213378","ALKERMES INC","05/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/213378s000lbl.pdf#page=40"
"Lynparza","Olaparib","TABLET;ORAL","208558","ASTRAZENECA","08/26/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208558s026lbl.pdf#page=54"
"Lynparza","Olaparib","CAPSULE;ORAL","206162","ASTRAZENECA","09/27/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206162s011lbl.pdf#page=16"
"Lyrica","Pregabalin","SOLUTION;ORAL","022488","UPJOHN","04/03/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021446s036,022488s014lbl.pdf#page=56"
"Lyrica","Pregabalin","CAPSULE;ORAL","021446","UPJOHN","04/03/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021446s036,022488s014lbl.pdf#page=56"
"Lyrica CR","Pregabalin","TABLET, EXTENDED RELEASE;ORAL","209501","UPJOHN","04/03/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209501s000lbl.pdf#page=29"
"Magnevist","Gadopentetate Dimeglumine","INJECTABLE;INJECTION","021037","BAYER HLTHCARE","07/25/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021037s037s038lbl.pdf#page=13"
"Magnevist","Gadopentetate Dimeglumine","INJECTABLE;INJECTION","019596","BAYER HLTHCARE","07/25/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/019596s064s065lbl.pdf#page=12"
"Marplan","Isocarboxazid","TABLET;ORAL","011961","VALIDUS PHARMS INC","11/08/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/011961s045lbl.pdf#page=16"
"Mavenclad","Cladribine","TABLET;ORAL","022561","EMD SERONO INC","09/19/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022561s006lbl.pdf#page=29"
"Mayzent","Siponimod Fumaric Acid","TABLET;ORAL","209884","NOVARTIS","01/31/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209884s015lbl.pdf#page=22"
"Meridia","Sibutramine Hydrochloride","CAPSULE;ORAL","020632","ABBOTT","08/04/2010","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/020632s034s035MedGuide.pdf"
"Metadate CD","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","021259","LANNETT CO INC","04/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021259s025lbl.pdf#page=16"
"Methylin","Methylphenidate Hydrochloride","TABLET, CHEWABLE;ORAL","021475","SPECGX LLC","06/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021475s011lbl.pdf#page=13"
"Methylin","Methylphenidate Hydrochloride","SOLUTION;ORAL","021419","SPECGX LLC","07/19/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021419s010lbl.pdf#page=16"
"Metoclopramide Hydrochloride","Metoclopramide Hydrochloride","SOLUTION;ORAL","074703","WOCKHARDT BIO AG","04/08/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM244086.pdf"
"Metozolv ODT","Metoclopramide Hydrochloride","TABLET, ORALLY DISINTEGRATING;ORAL","022246","SALIX PHARMS","02/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022246s009lbl.pdf#page=18"
"Mifeprex","Mifepristone","TABLET; ORAL","020687","DANCO LABS LLC","01/03/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020687s025lbl.pdf#page=16"
"Mircera","Methoxy Polyethylene Glycol-Epoetin Beta","SOLUTION; INJECTION","125164","HOFFMAN-LA ROCHE","06/07/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125164s078lbl.pdf#page=23"
"Mitigare","Colchicine","CAPSULE;ORAL","204820","HIKMA AMERICAS","09/26/2014","http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/204820s000lbl.pdf#page=11"
"Mitigare","Colchicine","CAPSULE;ORAL","204820","HIKMA INTL PHARMS","09/26/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM417495.pdf"
"Mobic","Meloxicam","SUSPENSION;ORAL","021530","AVONDALE PHARMS","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021530s017lbl.pdf#page=16"
"Mobic","Meloxicam","TABLET;ORAL","020938","BOEHRINGER INGELHEIM","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020938s028lbl.pdf#page=16"
"Morphabond ER","Morphine Sulfate","TABLET, EXTENDED RELEASE;ORAL","206544","DAIICHI SANKYO INC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/206544s012lbl.pdf#page=38"
"Morphine Sulfate","Morphine Sulfate","TABLET;ORAL","022207","HIKMA","06/02/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022207s010lbl.pdf#page=26"
"Morphine Sulfate","Morphine Sulfate","SOLUTION;ORAL","022195","HIKMA","07/22/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022195s019lbl.pdf#page=29"
"Morphine Sulfate","Morphine Sulfate","SOLUTION;ORAL","201517","LANNETT CO INC","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/201517s017lbl.pdf#page=29"
"Motrin","Ibuprofen","TABLET;ORAL","017463","MCNEIL CONSUMER","09/10/2007","https://www.accessdata.fda.gov/drugsatfda_docs/label/2006/017463s104lbl.pdf#page=13"
"Movantik","Naloxegol Oxalate","TABLET;ORAL","204760","REDHILL","04/13/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204760s009lbl.pdf#page=16"
"Moviprep","Ascorbic Acid; Polyethylene Glycol 3350; Potassium Chloride; Sodium Ascorbate; Sodium Chloride; Sodium Sulfate","FOR SOLUTION;ORAL","021881","SALIX PHARMS","05/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021881s023lbl.pdf#page=13"
"Moxifloxacin Hydrochloride","Moxifloxacin Hydrochloride","SOLUTION;INTRAVENOUS","205572","FRESENIUS KABI USA","07/26/2016","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/205572s007lbl.pdf#page=49"
"MS Contin","Morphine Sulfate","TABLET, EXTENDED RELEASE;ORAL","019516","PURDUE PHARMA LP","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019516s057lbl.pdf#page=29"
"Multaq","Dronedarone Hydrochloride","TABLET;ORAL","022425","SANOFI AVENTIS US","11/16/2020","http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022425s029lbl.pdf#page=22"
"Multihance","Gadobenate Dimeglumine","INJECTABLE;INTRAVENOUS","021357","BRACCO","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021357s016s017,021358s015s016lbl.pdf#page=34"
"Multihance Multipack","Gadobenate Dimeglumine","INJECTABLE;INTRAVENOUS","021358","BRACCO","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021357s016s017,021358s015s016lbl.pdf#page=34"
"Myalept","Metreleptin","INJECTABLE;INJECTION","125390","AEGERION","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125390s024lbl.pdf#page=16"
"Mydayis","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","022063","TAKEDA PHARMS USA","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022063s003lbl.pdf#page=22"
"Myfortic","Mycophenolic Sodium","TABLET, DELAYED RELEASE;ORAL","050791","NOVARTIS","03/15/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050791s035lbl.pdf#page=23"
"Myobloc","Botulinum Toxin Type B","VIAL","103846","ELAN PHARM","03/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/103846s5195lbl.pdf#page=17"
"Mysoline","Primidone","TABLET;ORAL","009170","VALEANT","06/10/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009170Orig1s040lbl.pdf#page=7"
"Nalfon","Fenoprofen Calcium","CAPSULE;ORAL","017604","XSPIRE PHARMA","04/28/2021","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088655.pdf"
"Naprelan","Naproxen Sodium","TABLET, EXTENDED RELEASE;ORAL","020353","ALMATICA","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020353s038lbl.pdf#page=23"
"Naprosyn","Naproxen","TABLET;ORAL","017581","ATNAHS PHARMA US","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017581s115,018164s065,020067s064lbl.pdf#page=23"
"Naprosyn","Naproxen","SUSPENSION;ORAL","018965","ATNAHS PHARMA US","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018965s027lbl.pdf#page=23"
"Nardil","Phenelzine Sulfate","TABLET;ORAL","011909","PARKE DAVIS","08/02/2007","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088660.pdf"
"Natpara","Parathyroid Hormone","INJECTABLE;INJECTION","125511","NPS PHARMS INC","07/01/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125511s016lbl.pdf#page=18"
"Nayzilam","Midazolam","SPRAY;NASAL","211321","UCB INC","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211321s008lbl.pdf#page=26"
"Nesina","Alogliptin Benzoate","TABLET;ORAL","022271","TAKEDA PHARMS USA","07/01/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022271s012lbl.pdf#page=29"
"Neurontin","Gabapentin","CAPSULE;ORAL","020235","UPJOHN","12/16/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020235s069,020882s050,021129s050lbl.pdf#Page=28"
"Neurontin","Gabapentin","TABLET;ORAL","020882","UPJOHN","12/16/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020235s069,020882s050,021129s050lbl.pdf#Page=28"
"Neurontin","Gabapentin","SOLUTION;ORAL","021129","UPJOHN","12/16/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020235s069,020882s050,021129s050lbl.pdf#Page=28"
"Nexium","Esomeprazole Magnesium","CAPSULE, DELAYED REL PELLETS;ORAL","021153","ASTRAZENECA","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021153s059,021957s026,022101s023lbl.pdf#page=41"
"Nexium","Esomeprazole Magnesium","FOR SUSPENSION, DELAYED RELEASE;ORAL","022101","ASTRAZENECA","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021153s059,021957s026,022101s023lbl.pdf#page=41"
"Nexium","Esomeprazole Magnesium","FOR SUSPENSION, DELAYED RELEASE;ORAL","021957","ASTRAZENECA","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021153s059,021957s026,022101s023lbl.pdf#page=41"
"Nizoral","Ketoconazole","TABLET;ORAL","018533","JANSSEN PHARMS","02/25/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM362592.pdf"
"Nocdurna","Desmopressin Acetate","TABLET;SUBLINGUAL","022517","FERRING PHARMS INC","06/21/2018","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022517s000lbl.pdf#page=14"
"Noctiva","Desmopressin Acetate","SPRAY, METERED;NASAL","201656","SERENITY PHARMS LLC","03/03/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/201656lbl.pdf#page=13"
"Nolvadex","Tamoxifen Citrate","TABLET;ORAL","017970","ASTRAZENECA","03/13/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088661.pdf"
"Norco","Acetaminophen; Hydrocodone Bitartrate","TABLET;ORAL","040099","APIL","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/040099s023lbl.pdf#page=23"
"Noroxin","Norfloxacin","TABLET;ORAL","019384","MERCK","07/26/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM246795.pdf"
"Norpramin","Desipramine Hydrochloride","TABLET;ORAL","014399","VALIDUS PHARMS","11/09/2018","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/014399s066s067mg.pdf"
"Novantrone","Mitoxantrone Hydrochloride","INJECTABLE;INJECTION","019297","EMD SERONO","03/23/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/019297s035mg.pdf"
"Nplate","Romiplostim","INJECTABLE; SUBCUTANEOUS","125268","AMGEN","02/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125268s167lbl.pdf#page=18"
"Nucynta","Tapentadol Hydrochloride","TABLET;ORAL","022304","COLLEGIUM PHARM INC","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022304s023lbl.pdf#page=33"
"Nucynta","Tapentadol Hydrochloride","SOLUTION;ORAL","203794","COLLEGIUM PHARM INC","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/203794s009lbl.pdf#page=35"
"Nucynta ER","Tapentadol Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","200533","COLLEGIUM PHARM INC","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/200533s023lbl.pdf#page=37"
"Nulojix","Belatacept","INJECTABLE; INJECTION","125288","BRISTOL MYERS SQUIBB","07/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/125288s075lbl.pdf#page=49"
"Nulytely","Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride","FOR SOLUTION;ORAL","019797","BRAINTREE","05/14/2021","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM370636.pdf"
"Nulytely-Flavored","Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride","FOR SOLUTION;ORAL","019797","BRAINTREE","05/14/2021","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM370636.pdf"
"Nuvigil","Armodafinil","TABLET;ORAL","021875","CEPHALON","02/07/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021875s023lbl.pdf#page=24"
"Obredon","Guaifenesin; Hydrocodone Bitartrate","SOLUTION;ORAL","205474","SOVEREIGN PHARMS","06/28/2018","http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/205474s005lbl.pdf#page=23"
"Ocaliva","Obeticholic Acid","TABLET;ORAL","207999","INTERCEPT PHARMS INC","05/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/207999s007lbl.pdf#page=22"
"Ocrevus","Ocrelizumab","INJECTABLE;INJECTION","761053","GENENTECH INC","08/03/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761053s029s030lbl.pdf#page=20"
"Odomzo","Sonidegib Phosphate","CAPSULE;ORAL","205266","SUN PHARMA GLOBAL","05/13/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/205266s006lbl.pdf#page=13"
"Oleptro","Trazodone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022411","ANGELINI PHARMA","07/17/2014","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM202202.pdf"
"Olumiant","Baricitinib","TABLET;ORAL","207924","ELI LILLY AND CO","05/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/207924s006lbl.pdf#page=26"
"Omniscan","Gadodiamide","INJECTABLE;INJECTION","022066","GE HEALTHCARE","10/23/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022066s008lbl.pdf#page=1"
"Omniscan","Gadodiamide","INJECTABLE;INJECTION","020123","GE HEALTHCARE","11/07/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020123s046lbl.pdf#page=1"
"Omontys","Peginesatide Acetate","SOLUTION;INTRAVENOUS, SUBCUTANEOUS","202799","TAKEDA PHARMS USA","12/04/2012","https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202799s001lbl.pdf#page=15"
"Onfi","Clobazam","SUSPENSION;ORAL","203993","LUNDBECK PHARMS LLC","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202067s007,203993s009lbl.pdf#page=29"
"Onfi","Clobazam","TABLET;ORAL","202067","LUNDBECK PHARMS LLC","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202067s007,203993s009lbl.pdf#page=29"
"Onglyza","Saxagliptin Hydrochloride","TABLET;ORAL","022350","ASTRAZENECA AB","07/01/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022350s023lbl.pdf#page=31"
"Onsolis","Fentanyl Citrate","FILM;BUCCAL","022266","BDSI","12/03/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022266s025lbl.pdf#page=32"
"Opana","Oxymorphone Hydrochloride","TABLET;ORAL","021611","ENDO PHARMS","10/25/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021611s016lbl.pdf#page=27"
"Opana ER","Oxymorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","021610","ENDO PHARMS","04/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021610s030lbl.pdf#page=31"
"Opana ER","Oxymorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","201655","ENDO PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/201655s026lbl.pdf#page=26"
"Opdivo","Nivolumab","INJECTABLE;INJECTION","125554","BRISTOL MYERS SQUIBB","07/14/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125554s114lbl.pdf#page=134"
"Opsumit","Macitentan","TABLET;ORAL","204410","ACTELION","10/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204410s022lbl.pdf#page=20"
"Optimark","Gadoversetamide","INJECTABLE;INJECTION","020937","LIEBEL-FLARSHEIM","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020937s028,020975s029,020976s030lbl.pdf#page=14"
"Optimark","Gadoversetamide","INJECTABLE;INJECTION","020975","LIEBEL-FLARSHEIM","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020975s028lbl.pdf#page=13"
"Optimark in Plastic Container","Gadoversetamide","INJECTABLE;INJECTION","020976","LIEBEL-FLARSHEIM","11/02/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020976s029lbl.pdf#page=13"
"Opzelura","Ruxolitinib Phosphate","CREAM;TOPICAL","215309","INCYTE CORP","07/18/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215309s001lbl.pdf#page=19"
"Oriahnn (Copackaged)","Elagolix Sodium,Estradiol,Norethindrone Acetate; Elagolix Sodium","CAPSULE;ORAL","213388","ABBVIE INC","08/02/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/213388s001lbl.pdf#page=29"
"Orilissa","Elagolix Sodium","TABLET;ORAL","210450","ABBVIE INC","02/01/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210450s004s005s006lbl.pdf#page=27"
"Oseni","Alogliptin Benzoate; Pioglitazone Hydrochloride","TABLET;ORAL","022426","TAKEDA PHARMS USA","07/01/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022426s012lbl.pdf#page=43"
"Osmoprep","Sodium Phosphate, Dibasic, Anhydrous; Sodium Phosphate, Monobasic, Monohydrate","TABLET;ORAL","021892","SALIX PHARMS","11/29/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021892s014lbl.pdf#page=13"
